NOG,Start_date,End_date,Modality,Category,Event_description,Buyer_entity,Buyer_sub_entity,Seller,Qty_of_offers,Amount,Qty,Unit_of_measurement,Qty_sum,bigger_than,days
12294942,2020-03-23,2020-03-25,Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),Salud e insumos hospitalarios,"MASCARILLA NASO BUCAL PROTECTORA , DESCARTABLE DE 3 CAPAS CON FILTRO ANTICONTAMINANTE INCORPORADO, CINTAS ELASTICAS, TIPO N 95.",INSTITUTO GUATEMALTECO DE SEGURIDAD SOCIAL -IGSS-,CONSULTORIO DE GUAZACAPÁN,"ASESORIA EN RECURSOS OCUPACIONALES, SOCIEDAD ANONIMA",1,4000.0,100,Unidad - 1 Unidad,100,False,1 days 23:26:40.000000000
12294969,2020-03-25,2020-03-30,Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),Salud e insumos hospitalarios,"REPARACION DE VENTILADOR NEONATAL MARCA SECHRIST BIEN 288304 UBICADA EN TERAPIA RESPIRATORIA, CONSISTENTE EN: CAMBIO DE PERILLA DEL FLUJOMETRO, LIMPIEZA Y PRUEBAS DE BUEN FUNCIONAMIENTO.",INSTITUTO GUATEMALTECO DE SEGURIDAD SOCIAL -IGSS-,HOSPITAL DE GINECO OBSTETRICIA,"ROCAL,VALDEZ,,JUAN,MANUEL",1,400.0,1,Unidad,1,False,4 days 23:02:34.000000000
12294985,2020-03-23,2020-03-25,Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),Salud e insumos hospitalarios,96090 Set de reparación inestabilidad codo sistema 5.0 PRE-443,INSTITUTO GUATEMALTECO DE SEGURIDAD SOCIAL -IGSS-,HOSPITAL GENERAL DE ACCIDENTES CEIBAL,"MOALCONVER, SOCIEDAD ANONIMA",2,4600.0,1,Unidad - 1 Unidad,1,False,1 days 19:46:03.000000000
12295019,2020-03-23,2020-03-25,Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),"Limpieza, fumigación y artículos afines",KIT DE MOPA,INSTITUTO GUATEMALTECO DE SEGURIDAD SOCIAL -IGSS-,CONSULTORIO DE GUAZACAPÁN,"SOMOCURCIO,ARANGURI,,JORGE,LUIS",1,552.0,4,Unidad - 1 Unidad,4,False,1 days 22:26:18.000000000
12295027,2020-03-25,2020-03-30,Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),Salud e insumos hospitalarios,"REPARACION DE CUNA DE CALOR RADIANTE MARCA MEDIX BIEN 444827 UBICADA EN ALTO RIESGO, CONSISTENTE EN: ARREGLO DE SISTEMA ELECTRICO DE TARJETA ELECTRONICA DEL MODULO PRINCIPAL, REVISION DEL SISTEMA ELEC",INSTITUTO GUATEMALTECO DE SEGURIDAD SOCIAL -IGSS-,HOSPITAL DE GINECO OBSTETRICIA,"ROCAL,VALDEZ,,JUAN,MANUEL",2,17200.0,1,Unidad,1,False,4 days 23:00:45.000000000
12295043,2020-03-23,2020-03-25,Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),Salud e insumos hospitalarios,95418 Set de fijación con placa bloqueada anatómica ángulo variable dorsal radio distal izquierdo PRE-444,INSTITUTO GUATEMALTECO DE SEGURIDAD SOCIAL -IGSS-,HOSPITAL GENERAL DE ACCIDENTES CEIBAL,"IMPLANTES ORTOPEDICOS Y SUMINISTROS MEDICOS PROMEDIC, SOCIEDAD ANONIMA",1,5300.0,2,Unidad - 1 Unidad,2,False,1 days 19:39:55.000000000
12295078,2020-03-24,2020-03-26,Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),Salud e insumos hospitalarios,"780 Metronidazol, Tableta o Cápsula 500 mg. CODIGO IGSS 148",INSTITUTO GUATEMALTECO DE SEGURIDAD SOCIAL -IGSS-,"CONSULTORIO PUERTO DE CHAMPERICO, RETALHULEU","NUEVOS ETICOS NEOETHICALS, SOCIEDAD ANONIMA",3,163.8,780,Unidad - 1 Unidad,780,False,2 days 01:09:27.000000000
1229508,2010-07-15,2010-07-19,Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),Salud e insumos hospitalarios,Adquisición de 65 viales de Inmunoglobulina humana sol. 1 gramo,MINISTERIO DE SALUD PÚBLICA,"HOSPITAL REGIONAL DE HUEHUETENANGO ""DR. JORGE VIDES MOLINA""","XENTURY GLOBAL, SOCIEDAD ANONIMA.",0,56875.0,65,Vial,65,False,4 days 00:20:13.000000000
12295086,2020-03-24,2020-03-26,Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),"Otros tipos de bienes o servicios, Salud e insumos hospitalarios","ADQUISICION DE LINEA DE ADMINISTRACIO DE OXIGENO CON ROSCA UNIVERSAL, COMPRA DIRECTA No. MSPAS 2020-ROO-CD-1122",MINISTERIO DE SALUD PÚBLICA,HOSPITAL ROOSEVELT,"EQUIPOS PARA HOSPITALES Y MEDICINAS, SOCIEDAD ANONIMA",2,36750.0,4200,Unidad - 1 Unidad,4200,False,2 days 01:08:51.000000000
12295108,2020-03-25,2020-03-30,Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),Salud e insumos hospitalarios,"REPARACION DE VENTILADOR PEDIATRICO MARCA SECHRIST BIEN 232791 UBICADO EN TERAPIA RESPIRATORIA, CONSISTENTE EN: ARREGLO DE LA BASE CALEFACTORA DEL VENTILADOR Y PRUEBAS DE BUEN FUNCIONAMIENTO.",INSTITUTO GUATEMALTECO DE SEGURIDAD SOCIAL -IGSS-,HOSPITAL DE GINECO OBSTETRICIA,"ROCAL,VALDEZ,,JUAN,MANUEL",1,4000.0,1,Unidad,1,False,4 days 22:57:57.000000000
12295116,2020-03-23,2020-03-25,Procedimientos Regulados por el artículo 44 LCE (Casos de Excepción),Salud e insumos hospitalarios,ADQUISICION DE MASCARILLAS ANTICONTAMINANTES. SI; FILTRO TRIPLE; PARA LOS DISTRITOS DE LA DIRECCION DE AREA DE SALUD GUATEMALA NOR ORIENTE COVID-2020 CDEX02,MINISTERIO DE SALUD PÚBLICA,AREA DE SALUD GUATEMALA NOR ORIENTE,"ASESORIA EN RECURSOS OCUPACIONALES, SOCIEDAD ANONIMA",3,42500.0,5000,Unidad - 1 Unidad,5000,False,1 days 18:40:12.000000000
12295124,2020-03-23,2020-03-25,Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),Otros tipos de bienes o servicios,ARRENDAMIENTO EQUIPO VENTILADORES MECANICOS PARA PACIENTE PEDIATRICO-NEONATAL POR EL PERIODO DEL 01 AL 30 DE ABRIL DE 2020,INSTITUTO GUATEMALTECO DE SEGURIDAD SOCIAL -IGSS-,HOSPITAL DE ESCUINTLA,OXI-RENT SOCIEDAD ANONIMA,1,13950.0,2,Unidad,2,False,1 days 18:20:26.000000000
12295132,2020-03-24,2020-03-26,Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),"Otros tipos de bienes o servicios, Salud e insumos hospitalarios","ADQUISICION DE CATETER PARA VENA SUBCLAVIA 7 FR DE 3 LUMEN, COMPRA DIRECTA No. MSPAS 2020-ROO-CD-1121",MINISTERIO DE SALUD PÚBLICA,HOSPITAL ROOSEVELT,"ASESORIA DE PRODUCTOS MEDICOS, SOCIEDAD ANONIMA",2,77500.0,500,Kit - 1 Unidad,500,False,2 days 01:10:05.000000000
12295140,2020-03-23,2020-03-24,Procedimientos Regulados por el artículo 44 LCE (Casos de Excepción),Otros tipos de bienes o servicios,3950 MASCARILLAS DESECHABLES (79 CAJAS DE 50 UNIDADES),ORGANISMO JUDICIAL,UNIDAD DE COMPRAS REGIONAL DE QUETZALTENANGO,GRUPO IEC SOCIEDAD ANONIMA,3,86228.5,3950,Unidad,3950,False,0 days 21:54:57.000000000
1229516,2010-07-14,2010-07-19,Procedimientos Regulados por el artículo 44 LCE (Casos de Excepción),Alimentos y semillas,"COMPRA POR CASO DE EXCEPCION DE 22,655 RACIONES FRIAS TIPO ALMUERZO",COORDINADORA NACIONAL PARA LA REDUCCION DE DESASTRES,COMPRAS CONRED,ALPAK S.A.,0,656995.0,22655,UNIDAD,22655,False,4 days 22:20:45.000000000
12295175,2020-03-25,2020-03-30,Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),Salud e insumos hospitalarios,"REPARACION DE VENTILADOR PEDIATRICO MARCA SECHRIST BIEN 232790 UBICADO EN TERAPIA RESPIRATORIA, CONSISTENTE EN: CAMBIO DE VALVULAS PICO DE PATO, CAMBIO DE KIT DE EMPAQUES PARA MANIFULD, CAMBIO DE VALV",INSTITUTO GUATEMALTECO DE SEGURIDAD SOCIAL -IGSS-,HOSPITAL DE GINECO OBSTETRICIA,"ROCAL,VALDEZ,,JUAN,MANUEL",1,9975.0,1,Unidad,1,False,4 days 22:56:55.000000000
1229524,2010-07-16,2010-07-22,Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),Computación y telecomunicaciones,5 fax multifuncionales,INSTITUTO GUATEMALTECO DE SEGURIDAD SOCIAL -IGSS-,HOSPITAL DE ESCUINTLA,"PROYECTOS DE NEGOCIOS VISIONARIOS, SOCIEDAD ANONIMA",0,3857.14,5,unidad,5,False,6 days 00:50:44.000000000
12295256,2020-03-25,2020-03-30,Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),Salud e insumos hospitalarios,"REPARACION DE VENTILADOR PEDIATRICO MARCA SECHRIST BIEN 250003 UBICADO EN TERAPIA RESPIRATORIA, CONSISTENTE EN: CAMBIO DE MANGUERA PARA AIRE, PRUEBAS DE BUEN FUNCIONAMIENTO.",INSTITUTO GUATEMALTECO DE SEGURIDAD SOCIAL -IGSS-,HOSPITAL DE GINECO OBSTETRICIA,"ROCAL,VALDEZ,,JUAN,MANUEL",1,1200.0,1,Unidad,1,False,4 days 22:56:09.000000000
12295264,2020-03-23,2020-03-25,Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),Salud e insumos hospitalarios,"2347-2020 CÓDIGO 227281 TOMOGRAFÍA COMPUTARIZADA; HELICOIDAL VASCULAR EN TERCERA DIMENSION 3D (ANGIOTOMOGRAFIA HELICOIDAL EN TERCERA DIMENSION 3D) con sombreado de superficie (SSD), proyecciones de máxima intensidad (MIP), reconstrucciones volumétricas en tercera dimensión a color (VRT); Funcional Hepática en 3 Fases (arterial, capilar y venosa)",INSTITUTO GUATEMALTECO DE SEGURIDAD SOCIAL -IGSS-,UNIDAD DE CONSULTA EXTERNA DE ENFERMEDADES,"CLINICA LONDRES, SOCIEDAD ANONIMA",1,89250.0,35,Unidad - 1 Unidad,35,False,1 days 19:27:47.000000000
12295272,2020-03-27,2020-03-31,Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),Papelería y artículos de librería,ADQUISICION DE IMPRESIONES DE DIFERENTES FORMATOS.,MINISTERIO DE SALUD PÚBLICA,HOSPITAL REGIONAL DE EL QUICHÉ,"SALAZAR,MORALES,,ISMEYNA,MARLENY",7,24979.9,208,Unidad,3636,True,4 days 02:11:42.000000000
12295280,2020-03-23,2020-03-26,Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),"Limpieza, fumigación y artículos afines, Otros tipos de bienes o servicios","SERVICIO DE LIMPIEZA PARA LAS INSTALACIONES DEL IGSS CONSULTORIO DE ANTIGUA GUATEMALA, SACATEPÉQUEZ Y CLÍNICAS DE HEMODIÁLISIS PANCHOY, CORRESPONDIENTE A LOS MESES DE: ABRIL, MAYO Y JUNIO 2020, P.955/2020",INSTITUTO GUATEMALTECO DE SEGURIDAD SOCIAL -IGSS-,"CONSULTORIO ANTIGUA GUATEMALA, SACATEPEQUEZ","PULEX,RAXON,,EMILIANO,",1,89000.0,1,Mes,1,False,2 days 21:01:48.000000000
12295310,2020-03-25,2020-03-30,Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),Salud e insumos hospitalarios,"REPARACION DE VENTILADOR PEDIATRICO MARCA SECHRIST BIEN 234866 UBICADO EN TERAPIA RESPIRATORIA, CONSISTENTE EN: ARREGLO DE LA BASE CALEFACTORA DEL VENTILADOR, CORRECCION DE FUGA DE BLENDER Y PRUEBAS D",INSTITUTO GUATEMALTECO DE SEGURIDAD SOCIAL -IGSS-,HOSPITAL DE GINECO OBSTETRICIA,"ROCAL,VALDEZ,,JUAN,MANUEL",1,9800.0,1,Unidad,1,False,4 days 22:55:23.000000000
12295329,2020-03-23,2020-03-25,Procedimientos Regulados por el artículo 44 LCE (Casos de Excepción),Salud e insumos hospitalarios,"COMPRA DE MASCARILLAS DESCARTABLES Y MASCARILLAS N95, PARA USO DE LA MUNICIPALIDAD DE VILLA NUEVA COMO MEDIDA DE PREVENCIÓN DERIVADO DE LA ALERTA ROJA EN EL MUNICIPIO DE VILLA NUEVA SEGÚN EL ESTADO DE CALAMIDAD PÚBLICA DECRETADO POR EL GOBIERNO CENTRAL Y RECTIFICADO POR EL CONGRESO DE LA REPÚBLICA DE GUATEMALA PARA PREVENCIÓN DEL COVID-19","MUNICIPALIDAD DE VILLA NUEVA, GUATEMALA",DEPARTAMENTO DE COMPRAS,"MUÑOZ,LOPEZ,,EDWARD,WERNER",3,400000.0,50000,Unidad,50300,True,1 days 19:23:34.000000000
12295337,2020-03-27,2020-03-31,Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),Construcción y materiales afines,"LEVANTAMIENTO DE ESTUDIO TOPOGRAFICO Y PLANIFICACION DEL PROYECTO: MEJORAMIENTO CAMINO RURAL CON PAVIMENTO RIGIDO, CASERIO LOS CIPRESES, ALDEA RANCHO BOJON, EL QUETZAL, SAN MARCOS.","MUNICIPALIDAD DE EL QUETZAL, SAN MARCOS",MUNCIPALIDAD DE EL QUETZAL,"TUL,VELASQUEZ,,CARLOS,FERNANDO",2,54700.0,1,Unidad,1,False,4 days 01:27:23.000000000
12295345,2020-03-24,2020-03-26,Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),"Otros tipos de bienes o servicios, Salud e insumos hospitalarios","en la República de Guatemala a presentar de forma electrónica, ofertas para la ADQUISICION DE CANULA DE IRRIGACION-SUCCION PARA VIDEOCIRUGIA DE 5MM CON ELECTROCAUTERIO, COMPRA DIRECTA No. MSPAS 2020-ROO-CD-1119",MINISTERIO DE SALUD PÚBLICA,HOSPITAL ROOSEVELT,SERVICIOS QUIRURGICOS SOCIEDAD ANONIMA,1,84000.0,140,Unidad - 1 Unidad,140,False,2 days 01:13:44.000000000
12295361,2020-03-25,2020-03-30,Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),Salud e insumos hospitalarios,"REPARACION DE VENTILADOR NEONATAL MARCA SECHRIST BIEN 288300 UBICADO EN TERAPIA RESPIRATORIA, CONSISTENTE EN: CAMBIO DE VALVULAS PICO DE PATO, CAMBIO DE KIT DE EMPAQUES PARA MANIFULD, CAMBIO DE VALVUL",INSTITUTO GUATEMALTECO DE SEGURIDAD SOCIAL -IGSS-,HOSPITAL DE GINECO OBSTETRICIA,"ROCAL,VALDEZ,,JUAN,MANUEL",1,12900.0,1,Unidad,1,False,4 days 20:02:36.000000000
12295388,2020-03-23,2020-03-25,Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),Papelería y artículos de librería,"ADQUISICION PAPEL PARA VIDEO IMPRESORA UP 21 MD ,COMPRA DIRECTA No. MSPAS 2020 -ROO-CD-1110",MINISTERIO DE SALUD PÚBLICA,HOSPITAL ROOSEVELT,"GRUPO RAF DE GUATEMALA, SOCIEDAD ANONIMA",1,45684.0,36,Unidad - 1 Unidad,36,False,1 days 18:36:02.000000000
1229540,2010-07-14,2010-07-15,Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),Salud e insumos hospitalarios,200 frascos de tiras reactivas para determinacion de glicemia capilar.,INSTITUTO GUATEMALTECO DE SEGURIDAD SOCIAL -IGSS-,HOSPITAL DE RETALHULEU,DROGUERIA COLON SOCIEDAD ANONIMA,0,49.0,200,Frasco,200,False,1 days 02:57:44.000000000
12295442,2020-03-23,2020-03-26,Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),Otros tipos de bienes o servicios,"Servicio de limpieza de fosa séptica del Centro de Detención preventiva para Hombres y Mujeres, Chimaltenango a cargo de la Dirección General del Sistema Penitenciario. DGSP 032-2020-DC-LECY",MINISTERIO DE GOBERNACIÓN,DIRECCIÓN GENERAL DEL SISTEMA PENITENCIARIO,"INGESCA, SOCIEDAD ANONIMA",1,59000.0,1,Unidad,1,False,2 days 21:28:13.000000000
12295450,2020-03-24,2020-03-26,Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),"Otros tipos de bienes o servicios, Salud e insumos hospitalarios","ADQUISICION DE VENDA ELASTICA DE 3 X 5 YARDAS DE POLIESTER CON FILAMENTOS DE LATEX, COMPRA DIRECTA No. MSPAS 2020-ROO-CD-1118",MINISTERIO DE SALUD PÚBLICA,HOSPITAL ROOSEVELT,"MULTIPRODUCTOS HOSPITALARIOS E INDUSTRIALES, SOCIEDAD ANONIMA",2,5780.0,2000,Unidad - 1 Unidad,2000,False,2 days 01:15:22.000000000
12295477,2020-03-25,2020-03-30,Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),Salud e insumos hospitalarios,"REPARACION DE VENTILADOR PEDIATRICO MARCA SECHRIST BIEN 234864 UBICADO EN TERAPIA RESPIRATORIA, CONSISTENTE EN: ARREGLO DE LA BASE CALEFACTORA DEL VENTILADOR, ARREGLO DEL BLENDER Y PRUEBAS DE BUEN FUN",INSTITUTO GUATEMALTECO DE SEGURIDAD SOCIAL -IGSS-,HOSPITAL DE GINECO OBSTETRICIA,"ROCAL,VALDEZ,,JUAN,MANUEL",1,9800.0,1,Unidad,1,False,4 days 22:35:09.000000000
12295507,2020-03-23,2020-03-25,Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),Salud e insumos hospitalarios,"ADQUISICIÓN DE CAMAS HOSPITALARIAS DE ACERO, SEGÚN SOLICITUD DE PEDIDO No. 192-2020",MINISTERIO DE SALUD PÚBLICA,"HOSPITAL DE COBAN, ALTA VERAPAZ","COMPAÑIA DE EQUIPO MEDICO-HOSPITALARIO, SOCIEDAD ANONIMA",3,88200.0,18,Unidad - 1 Unidad,18,False,1 days 20:26:41.000000000
12295531,2020-03-23,2020-03-25,Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),Salud e insumos hospitalarios,MSPAS No. 2020-ROO-CD-1125 (ADQUISICION DE INSULINA GLARGINA 100U/ML),MINISTERIO DE SALUD PÚBLICA,HOSPITAL ROOSEVELT,AGENCIA FARMACEUTICA INTERNACIONAL SOCIEDAD ANONIMA,2,85069.08,342,Vial - 1 Unidad,342,False,1 days 19:12:10.000000000
12295566,2020-03-24,2020-03-26,Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),"Otros tipos de bienes o servicios, Salud e insumos hospitalarios","ADQUISICION DE CINTA TESTIGO PARA ESTERILIZACION CON VAPOR, ROLLO ¾¿ X 54 A 60 METROS, LIBRE DE PLOMO, COMPRA DIRECTA No. MSPAS 2020-ROO-CD-1117",MINISTERIO DE SALUD PÚBLICA,HOSPITAL ROOSEVELT,"INDUSTRIAS EXPERTAS, SOCIEDAD ANONIMA.",3,51480.0,1980,Rollo - 60 Metro(m),1980,False,2 days 01:16:11.000000000
1229559,2010-07-15,2010-07-21,Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),"Construcción y materiales afines, Salud e insumos hospitalarios",REPARACION DE DRENAJE EN PATIO DE MANIOBRAS,INSTITUTO GUATEMALTECO DE SEGURIDAD SOCIAL -IGSS-,HOSPITAL DR. JUAN JOSE AREVALO BERMEJO,"ORELLANA,MORALES,,MARCO,VINICIO",0,20089.29,1,SERVICIO,1,False,5 days 23:10:01.000000000
12295590,2020-03-23,2020-03-25,Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),Salud e insumos hospitalarios,MSPAS No. 2020-ROO-CD-1126 (ADQUISICION DE GRANISETRON 3MG/3ML 1MG/ML. SOLUCION INYECTABLE. VIAL O AMPOLLA),MINISTERIO DE SALUD PÚBLICA,HOSPITAL ROOSEVELT,"DROGUERIA REFASA , SOCIEDAD ANONIMA",2,75000.0,1500,Ampolla - 3 Mililitro(ml),1500,False,1 days 19:12:35.000000000
12295604,2020-03-23,2020-03-25,Procedimientos Regulados por el artículo 44 LCE (Casos de Excepción),Salud e insumos hospitalarios,ADQUISICION DE MASCARILLAS TIPO N95 PARA LA EMERGENCIA COVID-19 PARA LA DIRECCION DE AREA DE SALUD DE QUETZALTENANGO,MINISTERIO DE SALUD PÚBLICA,AREA DE SALUD DE QUETZALTENANGO,"BARRIOS,RETANA,,BYRON,RENE",5,53662.5,2250,Unidad - 1 Unidad,2250,False,1 days 21:02:41.000000000
12295620,2020-03-23,2020-03-25,Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),Salud e insumos hospitalarios,MSPAS No. 2020-ROO-CD-1127 (ADQUISICION DE FULVESTRANT 250MG/5ML JERINGA PRELLENADA SOLUCION INYECTABLE),MINISTERIO DE SALUD PÚBLICA,HOSPITAL ROOSEVELT,"J.I. COHEN, SOCIEDAD ANONIMA",1,70858.0,16,Jeringa prellenada - 5 Mililitro(ml),16,False,1 days 19:12:58.000000000
12295663,2020-03-23,2020-03-25,Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),Salud e insumos hospitalarios,MSPAS No. 2020-ROO-CD-1128 (ADQUISICION DE GEFITINIB 250MG),MINISTERIO DE SALUD PÚBLICA,HOSPITAL ROOSEVELT,"J.I. COHEN, SOCIEDAD ANONIMA",1,78816.0,120,Unidad - 1 Unidad,120,False,1 days 19:13:19.000000000
12295671,2020-03-24,2020-03-26,Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),Alimentos y semillas,"ADQUISICIÓN DE CARNE ROJA RES, PARA LOS CENTROS DE COSTO DE LA UNIDAD EJECUTARA 115 SEGUNDA BRIGADA DE INFANTERIA ""CGRC"".",MINISTERIO DE LA DEFENSA NACIONAL,"SEGUNDA BRIGADA DE INFANTERIA ""CGRC""","ABUGARADE,PINEDA,,FERNANDO,",2,89900.0,2900,Bolsa - 1 Libra(lb),2900,False,2 days 00:29:58.000000000
12295698,2020-03-23,2020-03-25,Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),Salud e insumos hospitalarios,MSPAS No. 2020-ROO-CD-1129 (ADQUISICION DE TOSILATO DE SORAFENIB 200MG TABLETA),MINISTERIO DE SALUD PÚBLICA,HOSPITAL ROOSEVELT,AGENCIA FARMACEUTICA INTERNACIONAL SOCIEDAD ANONIMA,1,82431.0,180,Unidad - 1 Unidad,180,False,1 days 19:13:42.000000000
12295728,2020-03-23,2020-03-25,Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),Salud e insumos hospitalarios,MSPAS No. 2020-ROO-CD-1130 (ADQUISICION DE RIVAROXABAN DE 20MG TABLETA),MINISTERIO DE SALUD PÚBLICA,HOSPITAL ROOSEVELT,AGENCIA FARMACEUTICA INTERNACIONAL SOCIEDAD ANONIMA,1,82453.68,3186,Unidad - 1 Unidad,3186,False,1 days 19:14:05.000000000
12295744,2020-03-23,2020-03-25,Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),Salud e insumos hospitalarios,MSPAS No. 2020-ROO-CD-1131 (ADQUISICION DE SECUKINUMAB 150MG),MINISTERIO DE SALUD PÚBLICA,HOSPITAL ROOSEVELT,"NORVANDA HEALTHCARE, SOCIEDAD ANONIMA",1,84820.2,30,Vial - 150 Miligramos(mg),30,False,1 days 19:14:28.000000000
12295752,2020-03-23,2020-03-25,Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),Salud e insumos hospitalarios,"MSPAS No. 2020-ROO-CD-1132 (ADQUISICION DE BEVACIZUMAB 400MG/16ML, VIAL)",MINISTERIO DE SALUD PÚBLICA,HOSPITAL ROOSEVELT,"J.I. COHEN, SOCIEDAD ANONIMA",1,78881.68,4,Vial - 16 Mililitro(ml),4,False,1 days 19:14:50.000000000
12295760,2020-03-23,2020-03-25,Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),Salud e insumos hospitalarios,"ADQUISICIÓN DE BATA QUIRÚRGICA CONDICIÓN ESTÉRIL PARA EL HOSPITAL AMISTAD JAPÓN GUATEMALA, PERTENECE AL PRIMER CUATRIMESTRE DEL 2020 DICTAMEN 01-2020; solicitud 020-2020",MINISTERIO DE SALUD PÚBLICA,HOSPITAL DE LA AMISTAD JAPÓN GUATEMALA,"HERNANDEZ,ELIAS,,MARVIN,YUVANNY",1,15000.0,1000,Unidad - 1 Unidad,1000,False,1 days 18:51:10.000000000
12295795,2020-03-23,2020-03-25,Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),Salud e insumos hospitalarios,MSPAS No. 2020-ROO-CD-1133 (ADQUISICION DE BORTEZOMIB 2.5MG),MINISTERIO DE SALUD PÚBLICA,HOSPITAL ROOSEVELT,"LETERAGO, SOCIEDAD ANONIMA.",2,71808.0,24,VIAL,24,False,1 days 19:15:11.000000000
12295809,2020-03-23,2020-03-25,Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),Salud e insumos hospitalarios,MSPAS No. 2020-ROO-CD-1134 (ADQUISICION DE DOXORRUBICINA LIPOSOMAL 20MG/ML),MINISTERIO DE SALUD PÚBLICA,HOSPITAL ROOSEVELT,AGENCIA FARMACEUTICA INTERNACIONAL SOCIEDAD ANONIMA,2,60186.0,14,VIAL,14,False,1 days 19:15:37.000000000
12295825,2020-03-23,2020-03-25,Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),"Textiles, ropa y calzado",ADQUISICION DE TELA DE CEFIRO DE 72¿ DE ANCHO COLOR AZUL PAVO. COMPRA DIRECTA No. MSPAS 2020 -ROO-CD-1112,MINISTERIO DE SALUD PÚBLICA,HOSPITAL ROOSEVELT,"AJXUP,TAVICO,,HECTOR,MANUEL",2,89760.0,3400,Rollo - 72 Yarda(yd),3400,False,1 days 18:36:43.000000000
12295841,2020-03-23,2020-03-25,Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),Salud e insumos hospitalarios,MSPAS No. 2020-ROO-CD-1135 (ADQUISICION DE CARBOXIMALTOSA),MINISTERIO DE SALUD PÚBLICA,HOSPITAL ROOSEVELT,"J.I. COHEN, SOCIEDAD ANONIMA",1,58860.0,30,Vial - 10 Mililitro(ml),30,False,1 days 19:16:03.000000000
12295884,2020-03-23,2020-03-25,Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),Salud e insumos hospitalarios,MSPAS No. 2020-ROO-CD-1136 (ADQUISICION DE OMALIZUMAB 150MG),MINISTERIO DE SALUD PÚBLICA,HOSPITAL ROOSEVELT,"J.I. COHEN, SOCIEDAD ANONIMA",2,87001.2,22,Vial - 1 Unidad,22,False,1 days 19:16:27.000000000
12295965,2020-03-23,2020-03-25,Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),Construcción y materiales afines,"SERVICIO DE PINTURA PARA LA FACHADA DEL EDIFICIO MUNICIPAL DE LA MUNICIPALIDAD DE SAN MIGUEL CHICAJ, BAJA VERAPAZ","MUNICIPALIDAD DE SAN MIGUEL CHICAJ, BAJA VERAPAZ",OFICINA MUNICIPAL DE PLANIFICACIÓN,"GONZALEZ,OXLAJ,,EDSON,RIGOBERTO",2,45003.0,525,Centímetro Cuadrado,525,False,2 days 00:59:24.000000000
